2017/07/10 20:30:11 cfg.go:74: read config file: cfg.json successfully
2017/07/10 20:30:11 cron.go:68: [DEBUG] => <Node:{10.94.240.35 4633 0}, Containers:[<Id:6bdec05eb90d18c9e39d81f93ea7ab6868d6a8422d878e51bb8c5717414eeb88, Image:127.0.0.1:5000/root/app5:1, AppName:app5, Status:Up 24 hours, Ports:[<PublicPort:32769>]> <Id:cdc1850aad3a8f7f8da2d87645c2bf728e09112a413ba6e25f90be8f32d5cffd, Image:127.0.0.1:5000/root/app5:1, AppName:app5, Status:Up 25 hours, Ports:[<PublicPort:32768>]>]>
2017/07/10 20:30:16 cron.go:68: [DEBUG] => <Node:{10.94.240.35 4632 0}, Containers:[<Id:6bdec05eb90d18c9e39d81f93ea7ab6868d6a8422d878e51bb8c5717414eeb88, Image:127.0.0.1:5000/root/app5:1, AppName:app5, Status:Up 24 hours, Ports:[<PublicPort:32769>]> <Id:cdc1850aad3a8f7f8da2d87645c2bf728e09112a413ba6e25f90be8f32d5cffd, Image:127.0.0.1:5000/root/app5:1, AppName:app5, Status:Up 25 hours, Ports:[<PublicPort:32768>]>]>
2017/07/10 20:30:21 cron.go:68: [DEBUG] => <Node:{10.94.240.35 4634 0}, Containers:[<Id:6bdec05eb90d18c9e39d81f93ea7ab6868d6a8422d878e51bb8c5717414eeb88, Image:127.0.0.1:5000/root/app5:1, AppName:app5, Status:Up 24 hours, Ports:[<PublicPort:32769>]> <Id:cdc1850aad3a8f7f8da2d87645c2bf728e09112a413ba6e25f90be8f32d5cffd, Image:127.0.0.1:5000/root/app5:1, AppName:app5, Status:Up 25 hours, Ports:[<PublicPort:32768>]>]>
2017/07/10 20:30:26 cron.go:68: [DEBUG] => <Node:{10.94.240.35 4635 0}, Containers:[<Id:6bdec05eb90d18c9e39d81f93ea7ab6868d6a8422d878e51bb8c5717414eeb88, Image:127.0.0.1:5000/root/app5:1, AppName:app5, Status:Up 24 hours, Ports:[<PublicPort:32769>]> <Id:cdc1850aad3a8f7f8da2d87645c2bf728e09112a413ba6e25f90be8f32d5cffd, Image:127.0.0.1:5000/root/app5:1, AppName:app5, Status:Up 25 hours, Ports:[<PublicPort:32768>]>]>
2017/07/10 20:30:31 cron.go:68: [DEBUG] => <Node:{10.94.240.35 4634 0}, Containers:[<Id:6bdec05eb90d18c9e39d81f93ea7ab6868d6a8422d878e51bb8c5717414eeb88, Image:127.0.0.1:5000/root/app5:1, AppName:app5, Status:Up 24 hours, Ports:[<PublicPort:32769>]> <Id:cdc1850aad3a8f7f8da2d87645c2bf728e09112a413ba6e25f90be8f32d5cffd, Image:127.0.0.1:5000/root/app5:1, AppName:app5, Status:Up 25 hours, Ports:[<PublicPort:32768>]>]>
2017/07/10 20:30:36 cron.go:68: [DEBUG] => <Node:{10.94.240.35 4634 0}, Containers:[<Id:6bdec05eb90d18c9e39d81f93ea7ab6868d6a8422d878e51bb8c5717414eeb88, Image:127.0.0.1:5000/root/app5:1, AppName:app5, Status:Up 24 hours, Ports:[<PublicPort:32769>]> <Id:cdc1850aad3a8f7f8da2d87645c2bf728e09112a413ba6e25f90be8f32d5cffd, Image:127.0.0.1:5000/root/app5:1, AppName:app5, Status:Up 25 hours, Ports:[<PublicPort:32768>]>]>
2017/07/10 20:30:41 cron.go:68: [DEBUG] => <Node:{10.94.240.35 4634 0}, Containers:[<Id:6bdec05eb90d18c9e39d81f93ea7ab6868d6a8422d878e51bb8c5717414eeb88, Image:127.0.0.1:5000/root/app5:1, AppName:app5, Status:Up 24 hours, Ports:[<PublicPort:32769>]> <Id:cdc1850aad3a8f7f8da2d87645c2bf728e09112a413ba6e25f90be8f32d5cffd, Image:127.0.0.1:5000/root/app5:1, AppName:app5, Status:Up 25 hours, Ports:[<PublicPort:32768>]>]>
2017/07/10 20:30:46 cron.go:68: [DEBUG] => <Node:{10.94.240.35 4634 0}, Containers:[<Id:6bdec05eb90d18c9e39d81f93ea7ab6868d6a8422d878e51bb8c5717414eeb88, Image:127.0.0.1:5000/root/app5:1, AppName:app5, Status:Up 24 hours, Ports:[<PublicPort:32769>]> <Id:cdc1850aad3a8f7f8da2d87645c2bf728e09112a413ba6e25f90be8f32d5cffd, Image:127.0.0.1:5000/root/app5:1, AppName:app5, Status:Up 25 hours, Ports:[<PublicPort:32768>]>]>
2017/07/10 20:30:51 cron.go:68: [DEBUG] => <Node:{10.94.240.35 4634 0}, Containers:[<Id:6bdec05eb90d18c9e39d81f93ea7ab6868d6a8422d878e51bb8c5717414eeb88, Image:127.0.0.1:5000/root/app5:1, AppName:app5, Status:Up 24 hours, Ports:[<PublicPort:32769>]> <Id:cdc1850aad3a8f7f8da2d87645c2bf728e09112a413ba6e25f90be8f32d5cffd, Image:127.0.0.1:5000/root/app5:1, AppName:app5, Status:Up 25 hours, Ports:[<PublicPort:32768>]>]>
2017/07/10 20:30:56 cron.go:68: [DEBUG] => <Node:{10.94.240.35 4635 0}, Containers:[<Id:6bdec05eb90d18c9e39d81f93ea7ab6868d6a8422d878e51bb8c5717414eeb88, Image:127.0.0.1:5000/root/app5:1, AppName:app5, Status:Up 24 hours, Ports:[<PublicPort:32769>]> <Id:cdc1850aad3a8f7f8da2d87645c2bf728e09112a413ba6e25f90be8f32d5cffd, Image:127.0.0.1:5000/root/app5:1, AppName:app5, Status:Up 25 hours, Ports:[<PublicPort:32768>]>]>
2017/07/10 20:31:01 cron.go:68: [DEBUG] => <Node:{10.94.240.35 4634 0}, Containers:[<Id:6bdec05eb90d18c9e39d81f93ea7ab6868d6a8422d878e51bb8c5717414eeb88, Image:127.0.0.1:5000/root/app5:1, AppName:app5, Status:Up 24 hours, Ports:[<PublicPort:32769>]> <Id:cdc1850aad3a8f7f8da2d87645c2bf728e09112a413ba6e25f90be8f32d5cffd, Image:127.0.0.1:5000/root/app5:1, AppName:app5, Status:Up 25 hours, Ports:[<PublicPort:32768>]>]>
